X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-0.262,0.001
582,5.2,1.94,-0.2,,
583,-0.2,1.88,5,,
584,5.2,1.94,5,,
585,0,1.82,-0.4,,
586,5.2,1.94,-0.2,,
587,0,1.88,5,,
588,5.2,1.94,-0.2,,
589,-0.2,1.84,5,,
590,5.2,1.94,-0.2,,
591,0,1.86,5,,
592,5.2,1.88,-0.2,,
593,0,1.96,5,,
594,5.2,1.98,-0.2,,
595,0,1.82,5,,
596,5.2,1.98,-0.2,,
597,0,1.86,5,,
598,5.2,1.98,-0.2,,
599,0,1.88,5,,
600,5.2,1.98,5,,
601,0,1.92,-0.2,,
602,5.2,1.98,5,,
603,-0.2,1.9,-0.2,,
604,0,1.84,5,,
605,5.2,1.98,-0.2,,
606,5.2,1.98,5,,
607,-0.2,1.9,-0.2,,
608,5.2,1.9,5,,
609,-0.2,2,-0.4,,
610,5.2,2,5,,
611,0,1.9,-0.2,,
612,5.2,1.86,5,,
613,-0.2,2,-0.2,,
614,0,1.92,5,,
615,5.2,2,-0.2,,
616,5.2,1.88,5,,
617,-0.2,2,-0.2,,
618,0,2,5,,
619,5.2,1.86,-0.2,,
620,-0.2,2,5,,
621,5.2,1.9,-0.2,,
622,0,1.88,-0.2,,
623,5.2,2.02,5,,
624,0,1.9,-0.2,,
625,5.2,2,5,,
626,-0.2,2,-0.2,,
627,5.2,1.88,5,,
628,-0.2,1.96,-0.2,,
629,5.2,2.02,5,,
630,0,2,-0.2,,
631,5.2,1.96,5,,
632,0,1.96,-0.2,,
633,5.2,2.02,5,,
634,0,1.96,-0.2,,
635,5.2,2.02,5,,
636,-0.2,1.94,-0.2,,
637,5.2,2.02,5,,
638,0,2.02,-0.2,,
639,5.2,1.98,5,,
640,0,1.96,-0.2,,
641,5.2,2.04,5,,
642,0,2.04,5,,
643,5.2,1.98,-0.2,,
644,0,1.98,-0.2,,
645,5.2,2.04,5,,
646,-0.2,1.98,5,,
647,5.2,2.06,-0.2,,
648,0,1.98,5,,
649,5.2,2.06,-0.2,,
650,5.2,1.98,5,,
651,-0.2,2.06,-0.2,,
652,5.2,2.06,5,,
653,-0.2,1.98,-0.2,,
654,5.2,2.06,5,,
655,0,1.98,-0.2,,
656,5.2,2.06,5,,
657,-0.2,2.02,-0.4,,
658,5.2,2.06,5,,
659,-0.2,1.98,-0.4,,
660,5.2,2.02,5,,
661,-0.2,2.06,-0.4,,
662,5.2,2.06,-0.2,,
663,-0.2,1.98,5,,
664,5.2,2.06,-0.2,,
665,0,2.02,5,,
666,5.2,2.08,-0.2,,
667,-0.2,2.02,5,,
668,5.2,2.06,5,,
669,-0.2,1.94,-0.4,,
670,5.2,1.98,-0.2,,
671,0,2.08,5,,
672,5.2,2.08,-0.2,,
673,-0.2,2.02,5,,
674,5.2,2.08,-0.2,,
675,0,2.02,5,,
676,5.2,2.08,-0.2,,
677,0,2.02,5,,
678,5.2,2.08,-0.2,,
679,0,2.02,5,,
680,5.2,2.08,-0.2,,
681,-0.2,2.02,5,,
682,5.2,2.08,-0.2,,
683,0,2.02,5,,
684,5.2,2.08,-0.2,,
